user_id,skills,experience_level,interests
1,"python,ml",Beginner,ai
2,"python,data_mining",Beginner,ai
3,"python,ml,nlp",Intermediate,ai
4,"python,ml,computer_vision",Intermediate,ai
5,"python,ml,data_mining",Advanced,ai
6,"react,node",Intermediate,web
7,"react,node,express",Intermediate,web
8,"react,node,mongodb",Intermediate,web
9,"react,nextjs,node",Advanced,web
10,"html,css,javascript",Beginner,web
11,"javascript,react",Beginner,web
12,"javascript,react,node",Intermediate,web
13,"javascript,node,express",Intermediate,web
14,"typescript,react,node",Advanced,web
15,"java,sql,oops",Beginner,software
16,"java,sql,spring",Intermediate,software
17,"java,spring,hibernate",Advanced,software
18,"python,pandas,numpy",Beginner,data
19,"python,pandas,numpy",Intermediate,data
20,"python,pandas,ml",Advanced,data
21,"python,ml,nlp",Beginner,ai
22,"python,ml,computer_vision",Beginner,ai
23,"python,ml,data_analysis",Intermediate,data
24,"python,ml,time_series",Advanced,finance
25,"python,ml,statistics",Intermediate,data
26,"sql,powerbi,excel",Beginner,business
27,"sql,tableau,excel",Intermediate,business
28,"sql,data_analysis,python",Advanced,business
29,"python,ml,recommendation_systems",Advanced,"ai,ml"
30,"python,nlp,text_processing",Intermediate,ai
31,"node,express,mongodb",Beginner,web
32,"node,express,postgresql",Intermediate,web
33,"node,express,graphql",Advanced,web
34,"react,tailwind",Beginner,web
35,"react,tailwind,typescript",Intermediate,web
36,"nextjs,react,typescript",Advanced,web
37,"python,flask",Beginner,backend
38,"python,fastapi",Intermediate,backend
39,"python,fastapi,ml",Advanced,backend
40,"python,data_mining,ml",Intermediate,ai
41,"python,ml,feature_engineering",Advanced,ai
42,"python,ml,model_evaluation",Intermediate,ai
43,"python,computer_vision,opencv",Beginner,ai
44,"python,computer_vision,deep_learning",Advanced,ai
45,"python,ml,classification",Intermediate,ai
46,"python,ml,regression",Intermediate,ai
47,"python,ml,clustering",Advanced,ai
48,"python,ml,recommendation_systems",Intermediate,ai
49,"python,nlp,ml",Advanced,ai
50,"python,nlp,sentiment_analysis",Intermediate,ai
51,"react,node,sql",Beginner,web
52,"react,node,sql",Intermediate,web
53,"react,node,prisma",Advanced,web
54,"python,sql,flask",Beginner,backend
55,"python,sql,fastapi",Intermediate,backend
56,"python,sql,ml",Advanced,data
57,"python,data_cleaning,pandas",Beginner,data
58,"python,data_visualization",Intermediate,data
59,"python,data_analysis,ml",Advanced,data
60,"python,ml,deep_learning",Advanced,ai
61,"c++,dsa",Beginner,software
62,"c++,dsa",Intermediate,software
63,"c++,dsa_algorithms",Advanced,software
64,"python,automation,scripting",Beginner,software
65,"python,automation",Intermediate,software
66,"python,automation",Advanced,software
67,"python,ml,finance",Intermediate,finance
68,"python,ml,stock_prediction",Advanced,finance
69,"python,time_series,ml",Advanced,finance
70,"python,ml,credit_scoring",Intermediate,finance
71,"python,healthcare_data,ml",Intermediate,healthcare
72,"python,ml,medical_data",Advanced,healthcare
73,"python,data_mining,healthcare",Beginner,healthcare
74,"python,ml,diagnosis_systems",Advanced,healthcare
75,"python,ml,research",Advanced,ai
76,"python,statistics,ml",Intermediate,data
77,"python,statistics,data_analysis",Beginner,data
78,"python,ml,experimentation",Intermediate,ai
79,"python,ml,feature_selection",Advanced,ai
80,"python,ml,model_tuning",Advanced,ai
81,"react,uiux",Beginner,web
82,"react,uiux",Intermediate,web
83,"react,uiux",Advanced,web
84,"python,api_integration",Beginner,backend
85,"python,api_integration",Intermediate,backend
86,"python,api_integration",Advanced,backend
87,"python,ml,cloud",Intermediate,ai
88,"python,ml,aws",Advanced,ai
89,"python,ml,deployment",Advanced,ai
90,"python,ml,monitoring",Advanced,ai
91,"python,ml,logging",Intermediate,ai
92,"python,ml,pipelines",Advanced,ai
93,"python,data_engineering",Intermediate,data
94,"python,data_engineering",Advanced,data
95,"python,etl,pipelines",Advanced,data
96,"python,sql,etl",Intermediate,data
97,"python,ml,anomaly_detection",Advanced,ai
98,"python,ml,fraud_detection",Advanced,finance
99,"python,ml,forecasting",Intermediate,finance
100,"python,ml,predictive_modeling",Advanced,ai